UN Region,Sex,Age Group,Cause,Value,Low,High
Central Asia,Male,45-49,Ischaemic heart disease,594.46102,405.99509,762.94388
Central Asia,Male,50-54,Ischaemic heart disease,927.6288,633.82381,1190.11887
Central Asia,Male,55-59,Ischaemic heart disease,1580.47325,1081.99035,2027.40677
Central Asia,Male,60-64,Ischaemic heart disease,1880.33403,1282.80413,2413.51375
Central Asia,Male,65-69,Ischaemic heart disease,2523.57025,1724.75767,3239.54255
Central Asia,Male,70-74,Ischaemic heart disease,1774.45704,1209.86142,2277.31436
Central Asia,Female,All,Stroke,4928.57959,2617.20098,7455.89833
Central Asia,Female,25-29,Chronic obstructive pulmonary disease,4.87223,1.91829,8.95915
Central Asia,Female,30-34,Chronic obstructive pulmonary disease,6.80955,2.67451,12.4773
Central Asia,Female,35-39,Chronic obstructive pulmonary disease,8.99289,3.53562,16.65666
Central Asia,Female,40-44,Chronic obstructive pulmonary disease,11.37006,4.48238,21.2051
Central Asia,Female,45-49,Chronic obstructive pulmonary disease,15.45616,5.97467,29.14693
Central Asia,Female,50-54,Chronic obstructive pulmonary disease,20.97397,8.14046,39.47036
Central Asia,Female,55-59,Chronic obstructive pulmonary disease,43.57224,16.64813,82.58113
Central Asia,Female,55-59,Lower respiratory infections,57.42659,38.75125,77.78672
Central Asia,Female,60-64,Lower respiratory infections,62.18861,42.09853,84.11312
Central Asia,Female,65-69,Lower respiratory infections,84.16649,56.41158,114.19997
Central Asia,Female,70-74,Lower respiratory infections,60.40088,40.79539,81.77867
Central Asia,Female,75-79,Lower respiratory infections,86.70226,57.32605,119.03444
Central Asia,Female,80+,Lower respiratory infections,223.07948,146.42424,307.49482
Central Asia,Female,All,Lower respiratory infections,1461.39019,1003.96053,1977.65212
Central Asia,Female,25-29,"Trachea, bronchus, lung cancers",2.87027,1.69482,4.43136
Central Asia,Female,30-34,"Trachea, bronchus, lung cancers",3.74578,2.18963,5.76068
Central Asia,Female,35-39,"Trachea, bronchus, lung cancers",5.36157,3.13333,8.24764
Central Asia,Female,40-44,"Trachea, bronchus, lung cancers",9.04774,5.33771,13.87265
Central Asia,Female,45-49,"Trachea, bronchus, lung cancers",15.03008,8.90113,22.96576
Central Asia,Female,50-54,"Trachea, bronchus, lung cancers",22.24023,13.18376,33.92719
Central Asia,Female,55-59,"Trachea, bronchus, lung cancers",35.58333,21.07466,54.37411
Central Asia,Female,60-64,"Trachea, bronchus, lung cancers",38.53864,22.67196,59.00866
Central Asia,Female,65-69,"Trachea, bronchus, lung cancers",38.35833,22.32354,58.74399
Central Asia,Male,55-59,Stroke,513.79222,271.98486,779.03285
Central Asia,Male,70-74,Chronic obstructive pulmonary disease,159.42427,57.8206,310.2723
Central Asia,Male,75-79,Chronic obstructive pulmonary disease,195.51182,71.18191,380.67528
Central Asia,Male,80+,Chronic obstructive pulmonary disease,326.28791,117.2147,634.44481
Central Asia,Male,All,Chronic obstructive pulmonary disease,1234.76898,444.8518,2397.61345
Central Asia,Male,0-4,Lower respiratory infections,710.15567,499.54259,951.32808
Central Asia,Male,5-9,Lower respiratory infections,63.03698,43.16487,85.5745
Central Asia,Male,10-14,Lower respiratory infections,45.59181,31.21294,61.82504
Central Asia,Male,60-64,Stroke,634.39357,337.18527,958.92754
Central Asia,Male,65-69,Stroke,825.30833,437.23643,1246.91416
Central Asia,Male,70-74,Stroke,538.12414,287.32833,813.10233
Central Asia,Male,75-79,Stroke,601.05599,320.19945,904.53691
Central Asia,Male,80+,Stroke,974.86762,518.70131,1468.89084
Central Asia,Male,All,Stroke,4753.02238,2523.28911,7185.36309
Central Asia,Male,25-29,Chronic obstructive pulmonary disease,5.21686,2.01166,9.7862
Central Asia,Male,30-34,Chronic obstructive pulmonary disease,8.76382,3.37437,16.59262
Central Asia,Male,35-39,Chronic obstructive pulmonary disease,13.71301,5.21682,26.18394
Central Asia,Male,40-44,Chronic obstructive pulmonary disease,19.90354,7.47604,38.08756
Central Asia,Male,45-49,Chronic obstructive pulmonary disease,28.58263,10.55551,55.05427
Central Asia,Male,50-54,Chronic obstructive pulmonary disease,44.41528,16.2545,85.69551
Central Asia,Male,55-59,Chronic obstructive pulmonary disease,85.28387,30.9735,164.8364
Central Asia,Male,60-64,Chronic obstructive pulmonary disease,137.76482,49.86165,266.92844
Central Asia,Male,65-69,Chronic obstructive pulmonary disease,209.90114,75.82358,408.09031
Central Asia,Male,75-79,Ischaemic heart disease,2266.27476,1549.48832,2909.67162
Central Asia,Male,80+,Ischaemic heart disease,4603.46744,3146.42283,5903.30239
Central Asia,Male,All,Ischaemic heart disease,16846.40983,11510.97873,21630.55693
Central Asia,Male,25-29,Stroke,15.36448,8.05881,23.16215
Central Asia,Male,30-34,Stroke,26.3979,13.8771,39.83889
Central Asia,Male,35-39,Stroke,52.49054,27.6052,79.30789
Central Asia,Male,40-44,Stroke,100.0206,52.97593,151.32686
Central Asia,Male,60-64,"Trachea, bronchus, lung cancers",166.39135,95.83718,256.12695
Central Asia,Male,65-69,"Trachea, bronchus, lung cancers",147.17321,84.28998,227.26437
Central Asia,Male,70-74,"Trachea, bronchus, lung cancers",70.63159,40.38928,108.71781
Central Asia,Male,75-79,"Trachea, bronchus, lung cancers",45.79973,26.05646,70.71417
Central Asia,Male,80+,"Trachea, bronchus, lung cancers",37.17978,21.15537,57.60363
Central Asia,Male,All,"Trachea, bronchus, lung cancers",748.4003,431.43809,1150.09388
Eastern Asia,Both,25-29,Ischaemic heart disease,985.68925,670.21487,1244.85078
Eastern Asia,Both,30-34,Ischaemic heart disease,2373.99845,1613.91383,2997.47803
Eastern Asia,Both,35-39,Ischaemic heart disease,3185.95678,2164.65199,4017.14757
Central Asia,Male,45-49,Stroke,177.68279,93.71068,268.22675
Central Asia,Male,50-54,Stroke,293.5242,155.08427,445.32276
Central Asia,Male,15-19,Lower respiratory infections,36.34632,25.00075,49.09449
Central Asia,Male,20-24,Lower respiratory infections,31.31625,21.62616,42.29902
Central Asia,Male,25-29,Lower respiratory infections,36.60645,24.91885,49.39276
Central Asia,Male,30-34,Lower respiratory infections,45.87015,30.81481,62.35953
Central Asia,Male,35-39,Lower respiratory infections,64.22949,42.8392,87.69654
Central Asia,Male,40-44,Lower respiratory infections,73.68031,48.80502,101.27174
Central Asia,Male,45-49,Lower respiratory infections,78.70498,51.89247,108.31371
Central Asia,Male,50-54,Lower respiratory infections,84.71467,55.87044,116.66291
Central Asia,Male,55-59,Lower respiratory infections,115.77674,76.62016,158.64592
Central Asia,Male,60-64,Lower respiratory infections,118.79377,78.45687,163.33032
Central Asia,Male,65-69,Lower respiratory infections,133.56921,88.30529,183.30371
Central Asia,Male,70-74,Lower respiratory infections,82.9588,55.38577,113.00705
Central Asia,Male,75-79,Lower respiratory infections,92.17227,61.35149,125.89731
Central Asia,Male,80+,Lower respiratory infections,157.75791,105.25063,214.66314
Central Asia,Male,All,Lower respiratory infections,1971.28179,1345.28161,2672.8491
Central Asia,Male,25-29,"Trachea, bronchus, lung cancers",3.75839,2.23396,5.76266
Central Asia,Male,30-34,"Trachea, bronchus, lung cancers",5.87287,3.41824,9.015
Central Asia,Male,35-39,"Trachea, bronchus, lung cancers",4.62298,2.66968,7.01507
Central Asia,Male,40-44,"Trachea, bronchus, lung cancers",12.08888,7.1591,18.48967
Central Asia,Male,45-49,"Trachea, bronchus, lung cancers",34.26705,20.09045,52.46649
Central Asia,Male,50-54,"Trachea, bronchus, lung cancers",74.28031,43.17554,113.44909
Central Asia,Male,55-59,"Trachea, bronchus, lung cancers",146.33416,84.57536,224.51194
Eastern Asia,Both,55-59,Ischaemic heart disease,21029.56493,14280.60459,26508.63322
Eastern Asia,Both,35-39,Chronic obstructive pulmonary disease,215.22283,88.01422,389.78645
Eastern Asia,Both,40-44,Chronic obstructive pulmonary disease,502.25406,205.45571,909.09004
Eastern Asia,Both,45-49,Chronic obstructive pulmonary disease,1153.50455,471.33794,2087.71793
Eastern Asia,Both,50-54,Chronic obstructive pulmonary disease,2605.3068,1065.18926,4712.08752
Eastern Asia,Both,55-59,Chronic obstructive pulmonary disease,4392.03867,1793.88326,7945.19199
Eastern Asia,Both,60-64,Ischaemic heart disease,29617.46639,20110.20455,37339.33151
Eastern Asia,Both,65-69,Ischaemic heart disease,46204.80514,31349.202,58285.27739
Eastern Asia,Both,70-74,Ischaemic heart disease,53433.64853,36241.08618,67453.22217
Eastern Asia,Both,75-79,Ischaemic heart disease,62447.51728,42324.02147,78915.7118
Eastern Asia,Both,80+,Ischaemic heart disease,233970.3605,157933.5169,296279.4522
Eastern Asia,Both,All,Ischaemic heart disease,485410.5825,328524.4698,612789.1399
Eastern Asia,Both,25-29,Stroke,571.83647,303.66215,863.82003
Eastern Asia,Both,30-34,Stroke,1352.26477,717.67472,2044.21435
Eastern Asia,Both,35-39,Stroke,1977.17315,1049.51346,2985.66632
Eastern Asia,Both,40-44,Stroke,3964.8366,2104.84179,5982.30038
Eastern Asia,Both,45-49,Stroke,7551.87114,4008.47727,11387.74559
Eastern Asia,Both,50-54,Stroke,13811.49076,7329.4309,20852.8857
Eastern Asia,Both,55-59,Stroke,18455.13438,9798.23495,27850.61881
Eastern Asia,Both,60-64,Stroke,27310.54156,14502.45494,41205.07026
Eastern Asia,Both,65-69,Stroke,45022.88535,23888.94996,68034.25227
Eastern Asia,Both,70-74,Stroke,53075.52605,28157.17425,80118.46735
Eastern Asia,Both,75-79,Stroke,58646.42787,31117.15944,88308.41904
Eastern Asia,Both,80+,Stroke,154121.0598,81871.2958,232483.7314
Eastern Asia,Both,All,Stroke,385861.0479,204826.6275,581077.468
Eastern Asia,Both,25-29,Chronic obstructive pulmonary disease,65.00413,26.55986,117.80463
Eastern Asia,Both,30-34,Chronic obstructive pulmonary disease,159.27772,65.17796,288.41238
Eastern Asia,Both,40-44,Ischaemic heart disease,5772.43264,3920.43418,7273.39505
Eastern Asia,Both,45-49,Ischaemic heart disease,10007.55131,6793.66984,12621.37518
Eastern Asia,Both,50-54,Ischaemic heart disease,16381.59127,11122.94949,20650.3969
Eastern Asia,Both,All,Chronic obstructive pulmonary disease,209485.8531,84915.14428,381830.3329
Eastern Asia,Both,30-34,"Trachea, bronchus, lung cancers",456.89831,280.84854,663.91611
Eastern Asia,Both,35-39,"Trachea, bronchus, lung cancers",747.45188,459.03159,1086.83905
Eastern Asia,Both,40-44,"Trachea, bronchus, lung cancers",1676.62742,1028.99659,2439.06972
Eastern Asia,Both,45-49,"Trachea, bronchus, lung cancers",3707.74083,2274.07589,5395.85398
Eastern Asia,Both,50-54,"Trachea, bronchus, lung cancers",7333.18489,4499.23931,10669.54743
Eastern Asia,Both,0-4,Lower respiratory infections,4799.58571,3368.30859,6300.15752
Eastern Asia,Both,5-9,Lower respiratory infections,174.35906,121.507,228.7369
Eastern Asia,Both,10-14,Lower respiratory infections,109.87615,76.37924,144.11513
Eastern Asia,Both,15-19,Lower respiratory infections,122.7456,85.17733,161.72545
Eastern Asia,Both,20-24,Lower respiratory infections,153.65405,106.9974,202.04924
Eastern Asia,Both,25-29,Lower respiratory infections,175.56523,121.87555,230.44095
Eastern Asia,Both,30-34,Lower respiratory infections,260.24733,180.86148,341.88933
Eastern Asia,Both,35-39,Lower respiratory infections,269.93407,187.09416,355.81923
Eastern Asia,Both,40-44,Lower respiratory infections,390.74225,269.93288,515.67625
Eastern Asia,Both,45-49,Lower respiratory infections,630.99504,434.70531,832.99186
Eastern Asia,Both,50-54,Lower respiratory infections,1023.99754,705.968,1352.2584
Eastern Asia,Both,55-59,Lower respiratory infections,1358.36342,930.90074,1797.88183
Eastern Asia,Both,60-64,Lower respiratory infections,2049.81173,1393.76443,2721.16297
Eastern Asia,Both,65-69,Lower respiratory infections,3471.0191,2349.35539,4635.33986
Eastern Asia,Both,70-74,Lower respiratory infections,5080.62834,3408.4132,6851.19561
Eastern Asia,Both,75-79,Lower respiratory infections,7619.92327,5014.01239,10420.51221
Eastern Asia,Both,80+,Lower respiratory infections,43977.3616,27670.14678,62069.19308
Eastern Asia,Both,All,Lower respiratory infections,71668.80949,46399.63176,99161.49941
Eastern Asia,Both,25-29,"Trachea, bronchus, lung cancers",158.93652,97.64158,231.02537
Eastern Asia,Both,60-64,Chronic obstructive pulmonary disease,8557.49297,3492.52778,15487.24916
Eastern Asia,Both,65-69,Chronic obstructive pulmonary disease,17211.77729,7028.87909,31216.36868
Eastern Asia,Both,70-74,Chronic obstructive pulmonary disease,26592.16258,10838.25635,48279.17473
Eastern Asia,Both,75-79,Chronic obstructive pulmonary disease,34531.85894,14043.77955,62830.93091
Eastern Asia,Both,80+,Chronic obstructive pulmonary disease,113499.9525,45796.08328,208022.7701
Eastern Asia,Both,55-59,"Trachea, bronchus, lung cancers",10549.8357,6469.94215,15357.63817
Eastern Asia,Female,45-49,Stroke,2160.60683,1147.00464,3255.35322
Eastern Asia,Female,50-54,Stroke,4434.46251,2355.38923,6691.11054
Eastern Asia,Female,55-59,Stroke,6096.45544,3240.61153,9195.2593
Eastern Asia,Female,60-64,Stroke,9445.14375,5021.08089,14243.99025
Eastern Asia,Female,65-69,Stroke,16772.01285,8899.3722,25340.89914
Eastern Asia,Both,60-64,"Trachea, bronchus, lung cancers",15036.95123,9210.70659,21906.19496
Eastern Asia,Both,65-69,"Trachea, bronchus, lung cancers",21386.43329,13081.4278,31175.83383
Eastern Asia,Both,70-74,"Trachea, bronchus, lung cancers",19473.86165,11864.92057,28456.893
Eastern Asia,Both,75-79,"Trachea, bronchus, lung cancers",16241.97851,9864.88483,23812.78994
Eastern Asia,Both,80+,"Trachea, bronchus, lung cancers",23457.27645,14100.60407,34728.94707
Eastern Asia,Both,All,"Trachea, bronchus, lung cancers",120227.1767,73232.3195,175797.2217
Eastern Asia,Female,25-29,Ischaemic heart disease,209.99909,142.85307,265.23163
Eastern Asia,Female,30-34,Ischaemic heart disease,457.30257,310.99925,577.45923
Eastern Asia,Female,35-39,Ischaemic heart disease,581.83681,395.46315,734.11541
Eastern Asia,Female,40-44,Ischaemic heart disease,1151.08637,782.07877,1451.40073
Eastern Asia,Female,45-49,Ischaemic heart disease,2275.51474,1546.16387,2870.44619
Eastern Asia,Female,50-54,Ischaemic heart disease,4124.83519,2803.47963,5207.15443
Eastern Asia,Female,55-59,Ischaemic heart disease,5879.18715,3997.05269,7425.85869
Eastern Asia,Female,60-64,Ischaemic heart disease,9685.79989,6583.84318,12234.62602
Eastern Asia,Female,65-69,Ischaemic heart disease,17226.52872,11701.77563,21721.82103
Eastern Asia,Female,70-74,Ischaemic heart disease,22065.90604,14981.63691,27811.79691
Eastern Asia,Female,75-79,Ischaemic heart disease,27853.16659,18890.58879,35166.7147
Eastern Asia,Female,80+,Ischaemic heart disease,126453.9294,85229.9777,160235.4444
Eastern Asia,Female,All,Ischaemic heart disease,217965.0926,147373.4024,275439.9332
Eastern Asia,Female,25-29,Stroke,127.96612,67.92867,193.10142
Eastern Asia,Female,30-34,Stroke,277.4997,147.32419,418.89731
Eastern Asia,Female,35-39,Stroke,432.64241,229.73668,651.52502
Eastern Asia,Female,40-44,Stroke,990.34706,525.94179,1491.75936
Eastern Asia,Female,70-74,Stroke,21070.57974,11181.01934,31798.3743
Eastern Asia,Female,40-44,Lower respiratory infections,113.57267,78.44021,150.01806
Eastern Asia,Female,45-49,Lower respiratory infections,178.94466,123.65861,236.35901
Eastern Asia,Female,50-54,Lower respiratory infections,300.08218,207.56312,396.44348
Eastern Asia,Female,55-59,Lower respiratory infections,400.15822,276.30666,528.51738
Eastern Asia,Female,60-64,Lower respiratory infections,616.88549,422.61755,816.52327
Eastern Asia,Female,65-69,Lower respiratory infections,1147.97084,784.07644,1518.01131
Eastern Asia,Female,75-79,Stroke,24656.4668,13079.62606,37145.2837
Eastern Asia,Female,80+,Stroke,77475.38213,41169.41916,116763.7835
Eastern Asia,Female,All,Stroke,163939.5653,87037.0903,247254.5149
Eastern Asia,Female,25-29,Chronic obstructive pulmonary disease,21.78318,8.91206,39.40483
Eastern Asia,Female,30-34,Chronic obstructive pulmonary disease,52.85528,21.61502,95.70765
Eastern Asia,Female,35-39,Chronic obstructive pulmonary disease,73.5947,30.09337,133.24174
Eastern Asia,Female,40-44,Chronic obstructive pulmonary disease,162.86555,66.56735,295.0011
Eastern Asia,Female,45-49,Chronic obstructive pulmonary disease,379.7655,155.12392,687.42095
Eastern Asia,Female,50-54,Chronic obstructive pulmonary disease,840.62985,343.56671,1520.59542
Eastern Asia,Female,55-59,Chronic obstructive pulmonary disease,1390.52439,567.98383,2514.59285
Eastern Asia,Female,60-64,Chronic obstructive pulmonary disease,2826.08219,1154.35847,5109.78063
Eastern Asia,Female,65-69,Chronic obstructive pulmonary disease,6004.69769,2456.28534,10869.01012
Eastern Asia,Female,70-74,Chronic obstructive pulmonary disease,9759.16813,3985.93667,17669.31469
Eastern Asia,Female,75-79,Chronic obstructive pulmonary disease,13455.88376,5483.58767,24417.64555
Eastern Asia,Female,80+,Chronic obstructive pulmonary disease,52700.87911,21271.18132,96485.19326
Eastern Asia,Female,All,Chronic obstructive pulmonary disease,87668.72933,35545.21172,159665.8934
Eastern Asia,Female,0-4,Lower respiratory infections,2110.36911,1481.198,2770.26711
Eastern Asia,Female,5-9,Lower respiratory infections,82.48615,57.38892,108.20438
Eastern Asia,Female,10-14,Lower respiratory infections,39.71728,27.57904,52.11259
Eastern Asia,Female,15-19,Lower respiratory infections,39.32203,27.21469,51.83271
Eastern Asia,Female,20-24,Lower respiratory infections,48.74331,33.76148,64.08828
Eastern Asia,Female,25-29,Lower respiratory infections,54.7403,37.97521,71.92966
Eastern Asia,Female,30-34,Lower respiratory infections,72.87278,50.50286,95.78958
Eastern Asia,Female,35-39,Lower respiratory infections,76.87125,53.18724,101.62884
Eastern Asia,Female,70-74,Lower respiratory infections,1812.88628,1229.14971,2412.07423
Eastern Asia,Male,60-64,Ischaemic heart disease,19931.6665,13526.36137,25149.01976
Eastern Asia,Male,65-69,Ischaemic heart disease,28978.27642,19647.42637,36594.82127
Eastern Asia,Male,70-74,Ischaemic heart disease,31367.74249,21259.44926,39639.48311
Eastern Asia,Male,75-79,Ischaemic heart disease,34594.3507,23433.43268,43704.46598
Eastern Asia,Male,80+,Ischaemic heart disease,107516.4311,72696.04824,135849.6845
