Region,Sex,Age Group,Cause,Value,Low,High
Africa,Both,10-14,Lower respiratory infections,2896.58133,1805.12234,4013.52239
Africa,Both,15-19,Lower respiratory infections,1081.97574,664.16266,1537.08107
Africa,Both,20-24,Lower respiratory infections,1185.07395,730.5822,1675.57639
Africa,Both,25-29,Lower respiratory infections,1538.85443,926.52007,2183.60847
Africa,Both,30-34,Lower respiratory infections,1849.71408,1114.50995,2637.77329
Africa,Both,35-39,Lower respiratory infections,2188.18568,1327.78636,3127.19627
Africa,Both,40-44,Lower respiratory infections,2533.05561,1533.82814,3604.51576
Africa,Both,45-49,Lower respiratory infections,3168.93962,1940.74822,4492.87283
Africa,Both,50-54,Lower respiratory infections,4125.09239,2540.58538,5848.65254
Africa,Both,55-59,Lower respiratory infections,5346.26673,3303.30368,7539.70967
Africa,Both,60-64,Lower respiratory infections,6876.16132,4253.79331,9695.20186
Africa,Both,65-69,Lower respiratory infections,8070.25095,5071.47522,11299.54774
Africa,Both,70-74,Lower respiratory infections,9608.93784,6097.90705,13413.97191
Africa,Both,75-79,Lower respiratory infections,9044.31977,5658.94322,12755.34773
Africa,Both,80+,Lower respiratory infections,12887.42734,7783.90691,18481.84098
Africa,Both,All,Lower respiratory infections,159829.214,102836.7894,221025.8279
Africa,Both,25-29,"Trachea, bronchus, lung cancers",9.72467,5.35609,15.28512
Africa,Both,30-34,"Trachea, bronchus, lung cancers",21.13282,11.93764,32.79826
Africa,Both,35-39,"Trachea, bronchus, lung cancers",44.57337,25.15538,68.82956
Africa,Both,40-44,"Trachea, bronchus, lung cancers",98.39795,56.32868,152.27836
Africa,Both,45-49,"Trachea, bronchus, lung cancers",182.95302,106.17227,281.99289
Africa,Female,65-69,Stroke,4176.0943,2205.24072,6281.82016
Africa,Female,70-74,Stroke,5214.79386,2739.97866,7855.77098
Africa,Female,75-79,Stroke,5490.49103,2887.42214,8276.354
Africa,Female,80+,Stroke,7322.56526,3779.76347,11120.72487
Africa,Female,All,Stroke,32287.48855,16935.5375,48731.36889
Africa,Female,25-29,Chronic obstructive pulmonary disease,32.03443,11.67691,59.79083
Africa,Female,30-34,Chronic obstructive pulmonary disease,48.60891,17.93498,90.85131
Africa,Both,80+,"Trachea, bronchus, lung cancers",213.40553,117.47805,337.93499
Africa,Both,All,"Trachea, bronchus, lung cancers",2393.81566,1357.39785,3709.86009
Africa,Female,25-29,Ischaemic heart disease,106.03509,65.87686,137.76921
Africa,Female,30-34,Ischaemic heart disease,265.79272,168.7294,343.46643
Africa,Female,35-39,Ischaemic heart disease,410.55376,259.96722,531.39737
Africa,Female,40-44,Ischaemic heart disease,689.19297,437.32228,891.57364
Africa,Female,45-49,Ischaemic heart disease,1259.19086,812.88029,1628.22142
Africa,Female,50-54,Ischaemic heart disease,2058.47359,1320.85278,2665.99614
Africa,Female,55-59,Ischaemic heart disease,2860.97574,1838.63865,3710.72857
Africa,Female,60-64,Ischaemic heart disease,4330.3825,2800.28802,5598.72109
Africa,Female,65-69,Ischaemic heart disease,6110.28062,3968.47059,7888.06746
Africa,Female,70-74,Ischaemic heart disease,7699.32964,5000.92755,9939.05915
Africa,Female,75-79,Ischaemic heart disease,7698.55269,4973.30377,9989.59136
Africa,Female,80+,Ischaemic heart disease,12596.05328,8074.67835,16403.67004
Africa,Female,All,Ischaemic heart disease,46084.81345,29681.87395,59583.6053
Africa,Female,25-29,Stroke,145.45308,75.8068,218.2474
Africa,Female,30-34,Stroke,268.66639,139.69207,402.73853
Africa,Female,35-39,Stroke,437.64466,226.76173,659.46449
Africa,Female,40-44,Stroke,710.7388,369.49709,1064.26895
Africa,Female,45-49,Stroke,1079.38133,562.36044,1617.48779
Africa,Female,50-54,Stroke,1823.0249,950.55043,2741.49398
Africa,Female,55-59,Stroke,2396.2132,1256.72137,3597.17207
Africa,Female,60-64,Stroke,3222.42174,1699.52264,4840.12086
Africa,Female,40-44,Chronic obstructive pulmonary disease,62.39309,21.65096,124.82253
Africa,Female,70-74,Lower respiratory infections,4426.53978,2797.9241,6160.9147
Africa,Female,75-79,Lower respiratory infections,4395.06476,2722.91956,6174.37965
Africa,Female,80+,Lower respiratory infections,6827.23862,4120.64867,9792.67314
Africa,Female,All,Lower respiratory infections,70555.47992,45636.29687,97652.03324
Africa,Female,25-29,"Trachea, bronchus, lung cancers",4.10698,2.27503,6.39928
Africa,Female,30-34,"Trachea, bronchus, lung cancers",8.29483,4.58657,12.892
Africa,Female,45-49,Chronic obstructive pulmonary disease,143.85517,52.49283,272.72248
Africa,Female,50-54,Chronic obstructive pulmonary disease,284.16566,106.71642,546.11506
Africa,Female,55-59,Chronic obstructive pulmonary disease,449.51982,165.09056,870.94079
Africa,Female,60-64,Chronic obstructive pulmonary disease,718.91242,265.14307,1392.10521
Africa,Female,65-69,Chronic obstructive pulmonary disease,1099.73753,412.94467,2115.5198
Africa,Female,70-74,Chronic obstructive pulmonary disease,1280.32783,476.47951,2487.89613
Africa,Female,75-79,Chronic obstructive pulmonary disease,1246.56795,458.9963,2441.87371
Africa,Female,80+,Chronic obstructive pulmonary disease,1592.94466,567.92864,3184.50153
Africa,Female,All,Chronic obstructive pulmonary disease,7021.51769,2572.16741,13698.7671
Africa,Female,0-4,Lower respiratory infections,35145.33326,23156.11319,47257.26936
Africa,Female,5-9,Lower respiratory infections,3018.62059,1944.12554,4134.81312
Africa,Female,10-14,Lower respiratory infections,1361.55687,851.9871,1888.75462
Africa,Female,15-19,Lower respiratory infections,497.86704,304.37569,708.50534
Africa,Female,20-24,Lower respiratory infections,518.74573,321.14942,729.57669
Africa,Female,25-29,Lower respiratory infections,695.96035,417.77427,991.92298
Africa,Female,30-34,Lower respiratory infections,826.69998,493.63013,1185.31573
Africa,Female,35-39,Lower respiratory infections,911.76555,544.64524,1314.3401
Africa,Female,40-44,Lower respiratory infections,991.80967,599.62157,1414.93198
Africa,Female,45-49,Lower respiratory infections,1054.09665,652.20902,1491.10403
Africa,Female,50-54,Lower respiratory infections,1643.81879,1021.89453,2313.54413
Africa,Female,55-59,Lower respiratory infections,2053.57609,1286.5365,2881.13724
Africa,Female,60-64,Lower respiratory infections,2744.68659,1701.13268,3870.85112
Africa,Female,65-69,Lower respiratory infections,3442.09962,2155.40096,4821.72274
Africa,Female,35-39,Chronic obstructive pulmonary disease,62.45023,22.26165,121.04834
Africa,Female,35-39,"Trachea, bronchus, lung cancers",20.68588,11.45627,32.038
Africa,Male,25-29,Stroke,247.24458,128.2052,370.94732
Africa,Male,30-34,Stroke,330.49272,170.76542,497.68788
Africa,Male,35-39,Stroke,489.52525,253.61337,738.56941
Africa,Male,40-44,Stroke,976.63807,509.59969,1472.49029
Africa,Male,45-49,Stroke,1349.32645,702.8256,2031.99528
Africa,Male,50-54,Stroke,2106.89604,1098.88288,3176.05035
Africa,Female,40-44,"Trachea, bronchus, lung cancers",37.11073,20.63604,57.88612
Africa,Female,45-49,"Trachea, bronchus, lung cancers",63.65982,35.72011,98.56328
Africa,Female,50-54,"Trachea, bronchus, lung cancers",84.17206,47.77854,131.38678
Africa,Female,55-59,"Trachea, bronchus, lung cancers",101.64672,57.46622,159.17988
Africa,Female,60-64,"Trachea, bronchus, lung cancers",121.38375,67.5258,189.48694
Africa,Female,65-69,"Trachea, bronchus, lung cancers",108.28963,59.91961,171.44425
Africa,Female,70-74,"Trachea, bronchus, lung cancers",94.9658,52.31694,152.03495
Africa,Female,75-79,"Trachea, bronchus, lung cancers",75.19232,41.41547,119.6055
Africa,Female,80+,"Trachea, bronchus, lung cancers",79.0537,43.50375,125.48462
Africa,Female,All,"Trachea, bronchus, lung cancers",798.56223,443.22752,1255.47891
Africa,Male,25-29,Ischaemic heart disease,246.31845,155.84667,320.47482
Africa,Male,30-34,Ischaemic heart disease,527.41417,334.45214,684.07504
Africa,Male,35-39,Ischaemic heart disease,958.50979,607.89277,1239.99361
Africa,Male,40-44,Ischaemic heart disease,1500.51781,950.45453,1940.25372
Africa,Male,45-49,Ischaemic heart disease,2477.85599,1559.99746,3223.14739
Africa,Male,50-54,Ischaemic heart disease,3561.94389,2252.22968,4642.68032
Africa,Male,55-59,Ischaemic heart disease,4846.57154,3084.60723,6328.05082
Africa,Male,60-64,Ischaemic heart disease,6139.0666,3923.29199,7996.53471
Africa,Male,65-69,Ischaemic heart disease,7194.04408,4636.82536,9360.25533
Africa,Male,70-74,Ischaemic heart disease,7495.90899,4851.76755,9728.55291
Africa,Male,75-79,Ischaemic heart disease,6047.43569,3915.38666,7816.18748
Africa,Male,80+,Ischaemic heart disease,9309.34213,6030.38199,12124.7158
Africa,Male,All,Ischaemic heart disease,50304.92912,32276.69163,65066.51953
Africa,Male,55-59,Stroke,2730.50284,1434.06037,4123.85316
Africa,Male,25-29,Lower respiratory infections,842.89408,517.19093,1193.32093
Africa,Male,30-34,Lower respiratory infections,1023.01409,621.48216,1448.48139
Africa,Male,35-39,Lower respiratory infections,1276.42013,781.40745,1808.1418
Africa,Male,40-44,Lower respiratory infections,1541.24595,934.33658,2190.2844
Africa,Male,45-49,Lower respiratory infections,2114.84297,1292.25269,3004.88967
Africa,Male,50-54,Lower respiratory infections,2481.27359,1509.80413,3535.04779
Africa,Male,60-64,Stroke,4031.53823,2107.59223,6071.59913
Africa,Male,65-69,Stroke,4405.28628,2302.60104,6640.51908
Africa,Male,70-74,Stroke,4422.60899,2329.53388,6670.22495
Africa,Male,75-79,Stroke,3833.04336,2006.90186,5794.46865
Africa,Male,80+,Stroke,4776.18413,2458.8388,7221.84858
Africa,Male,All,Stroke,29699.28693,15497.12834,44791.09713
Africa,Male,25-29,Chronic obstructive pulmonary disease,50.82372,19.26495,95.39413
Africa,Male,30-34,Chronic obstructive pulmonary disease,77.0166,28.19451,144.84126
Africa,Male,35-39,Chronic obstructive pulmonary disease,85.67025,30.96192,163.94224
Africa,Male,40-44,Chronic obstructive pulmonary disease,171.28629,63.34279,325.93129
Africa,Male,45-49,Chronic obstructive pulmonary disease,270.77933,98.7026,531.87397
Africa,Male,50-54,Chronic obstructive pulmonary disease,501.54555,186.37718,954.52957
Africa,Male,55-59,Chronic obstructive pulmonary disease,754.32904,275.20611,1464.29003
Africa,Male,60-64,Chronic obstructive pulmonary disease,1196.4412,440.65423,2326.96466
Africa,Male,65-69,Chronic obstructive pulmonary disease,1598.5082,594.17539,3100.93645
Africa,Male,70-74,Chronic obstructive pulmonary disease,2084.6379,783.98252,4026.37419
Africa,Male,75-79,Chronic obstructive pulmonary disease,1670.40618,622.32308,3228.49731
Africa,Male,80+,Chronic obstructive pulmonary disease,2099.05597,770.94871,4084.00552
Africa,Male,All,Chronic obstructive pulmonary disease,10560.50023,3904.90803,20318.79239
Africa,Male,0-4,Lower respiratory infections,46524.84632,30500.66099,62690.76158
Africa,Male,5-9,Lower respiratory infections,2739.57704,1778.59352,3727.60861
Africa,Male,10-14,Lower respiratory infections,1535.02447,957.4707,2124.8169
Africa,Male,15-19,Lower respiratory infections,584.1087,358.2412,829.69009
Africa,Male,20-24,Lower respiratory infections,666.32822,408.72,946.23268
Africa,Male,55-59,Lower respiratory infections,3292.69064,2030.23971,4658.57243
Americas,Both,45-49,Ischaemic heart disease,3298.03187,1924.85092,4421.87073
Americas,Both,50-54,Ischaemic heart disease,5801.02684,3361.83522,7831.51921
Americas,Both,55-59,Ischaemic heart disease,9256.3748,5307.56759,12552.69697
Americas,Both,60-64,Ischaemic heart disease,12756.56311,7322.29036,17314.77464
Americas,Both,65-69,Ischaemic heart disease,15752.35175,9067.85221,21338.94082
Americas,Both,70-74,Ischaemic heart disease,18600.83956,10672.06398,25216.6134
Africa,Male,60-64,Lower respiratory infections,4131.47473,2567.71011,5842.64463
Africa,Male,65-69,Lower respiratory infections,4628.15134,2903.51873,6481.59875
Africa,Male,70-74,Lower respiratory infections,5182.39806,3273.19059,7251.86608
Africa,Male,75-79,Lower respiratory infections,4649.25502,2893.33466,6551.43618
Americas,Both,30-34,Stroke,223.51361,102.09301,373.15272
Americas,Both,35-39,Stroke,376.14412,170.66467,630.88864
Americas,Both,40-44,Stroke,573.95501,260.43744,962.26172
Americas,Both,45-49,Stroke,874.31115,392.84912,1472.61707
Americas,Both,50-54,Stroke,1354.1005,598.67941,2297.28826
Americas,Both,55-59,Stroke,1937.00228,856.36611,3305.67757
Americas,Both,60-64,Stroke,2718.49089,1202.57069,4646.77413
Americas,Both,65-69,Stroke,3566.50611,1577.57369,6073.20224
Americas,Both,70-74,Stroke,4585.36742,1991.85053,7829.4208
Americas,Both,75-79,Stroke,5498.3388,2396.37063,9335.96462
Americas,Both,80+,Stroke,19548.64709,8049.52695,34164.79124
Americas,Both,All,Stroke,41404.36019,17705.87379,70989.75054
Americas,Both,25-29,Chronic obstructive pulmonary disease,19.5202,4.9894,44.65741
Americas,Both,30-34,Chronic obstructive pulmonary disease,27.26191,6.6898,63.19803
Americas,Both,35-39,Chronic obstructive pulmonary disease,47.82192,11.56615,111.62326
Americas,Both,40-44,Chronic obstructive pulmonary disease,81.08929,19.02004,191.98048
Americas,Both,45-49,Chronic obstructive pulmonary disease,167.66608,37.94439,403.45137
Americas,Both,50-54,Chronic obstructive pulmonary disease,424.33696,92.31431,1042.39018
Americas,Both,55-59,Chronic obstructive pulmonary disease,965.3123,200.40674,2405.71179
Americas,Both,60-64,Chronic obstructive pulmonary disease,1696.50105,358.01734,4211.77461
Americas,Both,65-69,Chronic obstructive pulmonary disease,2503.10168,536.38899,6184.70141
Americas,Both,70-74,Chronic obstructive pulmonary disease,3711.86275,795.85931,9183.45125
Americas,Both,75-79,Chronic obstructive pulmonary disease,4326.68885,959.15745,10593.18404
Americas,Both,80+,Chronic obstructive pulmonary disease,14498.67358,3362.18044,34985.64406
Americas,Both,All,Chronic obstructive pulmonary disease,28469.83656,6385.48203,69492.36689
Americas,Both,0-4,Lower respiratory infections,2144.87521,1024.07736,3416.45052
Americas,Both,5-9,Lower respiratory infections,137.19412,68.92116,214.68866
Africa,Male,80+,Lower respiratory infections,6060.18871,3693.98229,8719.93419
Africa,Male,All,Lower respiratory infections,89273.73406,57469.84282,123316.6144
Africa,Male,25-29,"Trachea, bronchus, lung cancers",5.61769,3.08977,8.91138
Africa,Male,30-34,"Trachea, bronchus, lung cancers",12.83799,7.37574,19.80147
Africa,Male,35-39,"Trachea, bronchus, lung cancers",23.88749,13.73066,37.01983
Africa,Male,40-44,"Trachea, bronchus, lung cancers",61.28722,35.70367,93.72705
Africa,Male,45-49,"Trachea, bronchus, lung cancers",119.2932,69.1209,182.65449
Africa,Male,50-54,"Trachea, bronchus, lung cancers",176.26934,101.34153,271.84154
Africa,Male,55-59,"Trachea, bronchus, lung cancers",224.93,128.42252,346.7995
Africa,Male,60-64,"Trachea, bronchus, lung cancers",249.95365,141.67067,385.43931
Africa,Male,65-69,"Trachea, bronchus, lung cancers",244.19658,137.51736,379.42212
Africa,Male,70-74,"Trachea, bronchus, lung cancers",195.56259,108.90205,306.87804
Africa,Male,75-79,"Trachea, bronchus, lung cancers",147.06585,80.89249,231.47121
Africa,Male,80+,"Trachea, bronchus, lung cancers",134.35183,72.47495,212.73914
Africa,Male,All,"Trachea, bronchus, lung cancers",1595.25343,909.67866,2462.77171
Americas,Both,25-29,Ischaemic heart disease,370.67157,221.10765,488.29295
Americas,Both,30-34,Ischaemic heart disease,659.6334,389.6831,877.14418
Americas,Both,35-39,Ischaemic heart disease,1183.61477,695.76392,1579.20326
Americas,Both,40-44,Ischaemic heart disease,1962.89052,1154.34608,2619.72944
Americas,Both,75-79,Ischaemic heart disease,19930.64452,11540.52086,26939.97924
Americas,Both,80+,Ischaemic heart disease,78931.83873,45275.33799,107211.0349
Americas,Both,All,Ischaemic heart disease,168504.4814,96894.28136,228427.6727
Americas,Both,25-29,Stroke,147.98321,68.7341,244.11155
Americas,Both,50-54,"Trachea, bronchus, lung cancers",391.36751,189.3693,672.88556
Americas,Both,70-74,"Trachea, bronchus, lung cancers",1590.57705,749.80151,2808.84646
Americas,Both,75-79,"Trachea, bronchus, lung cancers",1392.66877,658.47203,2463.53302
Americas,Both,80+,"Trachea, bronchus, lung cancers",2165.18318,1017.72867,3847.43462
Americas,Both,All,"Trachea, bronchus, lung cancers",9230.4218,4385.75608,16192.76718
Americas,Female,25-29,Ischaemic heart disease,101.49281,60.70568,134.29404
Americas,Both,55-59,"Trachea, bronchus, lung cancers",811.91577,388.27847,1408.3956
Americas,Both,60-64,"Trachea, bronchus, lung cancers",1147.62062,548.86974,1998.10487
Americas,Both,65-69,"Trachea, bronchus, lung cancers",1411.54512,670.63292,2468.5536
Americas,Both,10-14,Lower respiratory infections,110.7542,55.49497,173.88767
Americas,Both,15-19,Lower respiratory infections,166.61624,80.66515,264.50323
Americas,Both,20-24,Lower respiratory infections,211.32584,100.84672,341.30008
Americas,Both,25-29,Lower respiratory infections,265.42094,128.13296,427.05165
Americas,Both,30-34,Lower respiratory infections,299.14015,143.35457,487.52975
Americas,Both,35-39,Lower respiratory infections,426.88215,202.79825,699.09634
Americas,Both,40-44,Lower respiratory infections,528.8026,250.55801,863.07704
Americas,Female,80+,Ischaemic heart disease,44116.12446,25308.3449,59910.01056
Americas,Female,All,Ischaemic heart disease,76043.37098,43863.81593,103008.9103
Americas,Female,25-29,Stroke,67.88337,31.39528,112.25783
Americas,Female,30-34,Stroke,103.38275,47.26347,172.6009
Americas,Female,35-39,Stroke,178.09211,79.76907,299.21986
Americas,Female,40-44,Stroke,274.0651,124.40097,459.08612
Americas,Female,45-49,Stroke,417.64419,188.42395,701.48645
Americas,Female,50-54,Stroke,619.89297,274.4004,1050.13612
Americas,Female,55-59,Stroke,859.05223,379.43382,1462.47518
Americas,Female,60-64,Stroke,1175.93395,519.32231,2003.1428
Americas,Female,65-69,Stroke,1582.51786,699.57112,2687.72545
Americas,Female,70-74,Stroke,2116.29342,918.89767,3608.09128
Americas,Female,75-79,Stroke,2772.37815,1202.06987,4718.4401
Americas,Female,80+,Stroke,11940.41897,4861.10598,21028.47043
Americas,Female,All,Stroke,22107.55506,9314.16648,38154.48594
Americas,Female,25-29,Chronic obstructive pulmonary disease,7.79852,1.97474,17.78234
Americas,Female,30-34,Chronic obstructive pulmonary disease,11.1003,2.70366,25.89448
Americas,Female,35-39,Chronic obstructive pulmonary disease,18.30917,4.40579,42.92846
Americas,Female,40-44,Chronic obstructive pulmonary disease,37.71747,8.7999,89.81391
Americas,Female,45-49,Chronic obstructive pulmonary disease,79.69225,17.90386,192.72193
Americas,Female,50-54,Chronic obstructive pulmonary disease,210.32503,45.0321,520.54209
Americas,Both,45-49,Lower respiratory infections,694.14891,320.05647,1151.51482
Americas,Both,50-54,Lower respiratory infections,953.90808,436.05838,1598.45097
Americas,Both,55-59,Lower respiratory infections,1351.74068,599.25133,2295.91682
Americas,Both,60-64,Lower respiratory infections,1832.29113,809.20919,3130.45053
Americas,Both,65-69,Lower respiratory infections,2523.71897,1114.15648,4289.10219
Americas,Both,70-74,Lower respiratory infections,3335.94037,1460.66018,5695.35294
Americas,Both,75-79,Lower respiratory infections,4340.18998,1952.12148,7312.50931
Americas,Both,80+,Lower respiratory infections,20338.7995,8856.37086,34698.72477
Americas,Both,All,Lower respiratory infections,39661.74907,17680.90289,67143.37529
Americas,Both,25-29,"Trachea, bronchus, lung cancers",11.51906,6.07087,18.82807
Americas,Both,30-34,"Trachea, bronchus, lung cancers",20.76229,10.47876,34.6951
Americas,Both,35-39,"Trachea, bronchus, lung cancers",38.85987,19.43116,65.39486
Americas,Both,40-44,"Trachea, bronchus, lung cancers",81.16501,40.19658,137.32009
Americas,Both,45-49,"Trachea, bronchus, lung cancers",167.23756,81.76853,286.23434
Americas,Female,30-34,Ischaemic heart disease,179.60981,106.66719,238.98156
Americas,Female,35-39,Ischaemic heart disease,332.61861,194.89195,443.74963
Americas,Female,40-44,Ischaemic heart disease,585.70592,343.1236,781.13044
Americas,Female,45-49,Ischaemic heart disease,980.06229,572.16821,1311.17186
Americas,Female,50-54,Ischaemic heart disease,1722.01544,999.45481,2318.84438
Americas,Female,55-59,Ischaemic heart disease,2807.98266,1622.36374,3800.54083
Americas,Female,60-64,Ischaemic heart disease,4111.77355,2380.1545,5557.46755
Americas,Female,65-69,Ischaemic heart disease,5487.36556,3175.96999,7412.02844
Americas,Female,70-74,Ischaemic heart disease,7021.01683,4055.03413,9486.6136
Americas,Female,75-79,Ischaemic heart disease,8597.60304,5002.11026,11596.06899
Americas,Female,40-44,Lower respiratory infections,187.90954,89.23145,309.15681
Americas,Female,25-29,"Trachea, bronchus, lung cancers",4.51286,2.37926,7.38787
Americas,Female,30-34,"Trachea, bronchus, lung cancers",8.84554,4.45525,14.89345
Americas,Female,35-39,"Trachea, bronchus, lung cancers",19.28575,9.6689,32.45291
Americas,Female,40-44,"Trachea, bronchus, lung cancers",39.82431,19.76032,67.4219
Americas,Female,45-49,"Trachea, bronchus, lung cancers",83.64491,40.90182,143.02612
Americas,Female,50-54,"Trachea, bronchus, lung cancers",184.91357,89.23574,319.22724
Americas,Female,55-59,"Trachea, bronchus, lung cancers",361.22798,172.27006,630.42445
Americas,Female,45-49,Lower respiratory infections,260.18191,119.83915,435.3687
Americas,Female,50-54,Lower respiratory infections,367.90264,167.5058,619.46301
Americas,Female,55-59,Lower respiratory infections,545.09477,242.15397,927.01056
Americas,Female,60-64,Lower respiratory infections,755.16233,334.90438,1290.54704
Americas,Female,65-69,Lower respiratory infections,1067.37785,476.26974,1809.09115
Americas,Female,70-74,Lower respiratory infections,1479.57916,652.26414,2520.23732
Americas,Female,75-79,Lower respiratory infections,2078.16292,940.35727,3498.58885
Americas,Female,80+,Lower respiratory infections,11685.97119,5090.29028,19969.12809
Americas,Female,All,Lower respiratory infections,19981.26649,8881.36577,33890.01743
Americas,Female,55-59,Chronic obstructive pulmonary disease,471.2109,96.8986,1180.66581
Americas,Female,60-64,Chronic obstructive pulmonary disease,769.28771,161.31619,1915.66817
Americas,Female,65-69,Chronic obstructive pulmonary disease,1100.84642,232.73207,2733.61219
Americas,Female,70-74,Chronic obstructive pulmonary disease,1669.46364,354.62997,4146.65363
Americas,Female,75-79,Chronic obstructive pulmonary disease,2027.81959,444.75133,4990.4081
Americas,Female,80+,Chronic obstructive pulmonary disease,7679.89853,1774.4334,18583.64657
Americas,Male,65-69,Ischaemic heart disease,10264.98619,5883.21239,13926.91238
Americas,Male,70-74,Ischaemic heart disease,11579.82273,6619.34835,15729.9998
Americas,Male,75-79,Ischaemic heart disease,11333.04148,6542.12327,15343.91024
Americas,Male,80+,Ischaemic heart disease,34815.71427,19966.99309,47300.84661
Americas,Male,All,Ischaemic heart disease,92461.11045,53100.08386,125418.7624
Americas,Male,25-29,Stroke,80.09984,37.66658,131.87998
Americas,Male,30-34,Stroke,120.13086,54.71454,200.54898
Americas,Male,35-39,Stroke,198.05201,89.89019,332.20953
Americas,Male,40-44,Stroke,299.8899,135.52341,502.88142
Americas,Male,45-49,Stroke,456.66695,204.42517,769.8355
Americas,Male,50-54,Stroke,734.20753,326.00711,1244.93626
Americas,Male,55-59,Stroke,1077.95005,474.57563,1843.20239
Americas,Male,60-64,Stroke,1542.55694,678.80309,2643.63133
Americas,Male,65-69,Stroke,1983.98825,878.00257,3385.4768
Americas,Male,70-74,Stroke,2469.074,1072.95286,4221.32952
Americas,Male,75-79,Stroke,2725.96065,1194.30076,4617.52453
Americas,Female,All,Chronic obstructive pulmonary disease,14083.46953,3146.30504,34456.10796
Americas,Female,0-4,Lower respiratory infections,929.53338,444.26888,1480.41332
Americas,Female,5-9,Lower respiratory infections,68.82018,34.4383,108.03634
Americas,Female,10-14,Lower respiratory infections,55.396,28.06649,86.65688
Americas,Female,15-19,Lower respiratory infections,65.40353,32.44362,103.6506
Americas,Female,20-24,Lower respiratory infections,79.96778,39.06513,128.78139
Americas,Female,25-29,Lower respiratory infections,94.88228,45.9901,153.5171
Americas,Female,30-34,Lower respiratory infections,110.0679,52.00227,182.53934
Americas,Female,35-39,Lower respiratory infections,149.8531,70.7491,247.89265
