UN SDG Region,Sex,Age Group,Cause,Value,Low,High
Australia and New Zealand,Male,All,Chronic obstructive pulmonary disease,374.85986,72.05381,953.03123
Australia and New Zealand,Male,0-4,Lower respiratory infections,1.93485,0.61293,3.94686
Australia and New Zealand,Male,40-44,Stroke,2.62085,0.96287,4.81259
Australia and New Zealand,Male,45-49,Stroke,4.93153,1.81167,9.05931
Australia and New Zealand,Male,50-54,Stroke,6.93196,2.54672,12.72897
Australia and New Zealand,Male,55-59,Stroke,10.56159,3.87971,19.40907
Australia and New Zealand,Male,60-64,Stroke,14.23318,5.22949,26.12464
Australia and New Zealand,Male,65-69,Stroke,21.45884,7.88314,39.4223
Australia and New Zealand,Male,70-74,Stroke,37.45298,13.75832,68.81813
Australia and New Zealand,Male,75-79,Stroke,52.45285,19.26847,96.38091
Australia and New Zealand,Male,80+,Stroke,249.80176,91.76418,459.00844
Australia and New Zealand,Male,All,Stroke,402.91945,148.01333,740.31086
Australia and New Zealand,Male,25-29,Chronic obstructive pulmonary disease,0.06508,0.0127,0.1654
Australia and New Zealand,Male,30-34,Chronic obstructive pulmonary disease,0.04925,0.00928,0.12498
Australia and New Zealand,Male,35-39,Chronic obstructive pulmonary disease,0.20465,0.03992,0.52012
Australia and New Zealand,Male,40-44,Chronic obstructive pulmonary disease,0.51036,0.09807,1.29744
Australia and New Zealand,Male,45-49,Chronic obstructive pulmonary disease,1.89009,0.36321,4.80501
Australia and New Zealand,Male,50-54,Chronic obstructive pulmonary disease,3.98258,0.76561,10.12549
Australia and New Zealand,Male,55-59,Chronic obstructive pulmonary disease,9.9018,1.90325,25.17393
Australia and New Zealand,Male,60-64,Chronic obstructive pulmonary disease,17.82033,3.42535,45.30584
Australia and New Zealand,Male,65-69,Chronic obstructive pulmonary disease,27.21508,5.23082,69.1949
Australia and New Zealand,Male,70-74,Chronic obstructive pulmonary disease,49.96074,9.60414,127.02138
Australia and New Zealand,Male,75-79,Chronic obstructive pulmonary disease,61.10089,11.74634,155.34648
Australia and New Zealand,Male,80+,Chronic obstructive pulmonary disease,202.15899,38.85405,513.94992
Australia and New Zealand,Male,25-29,Stroke,0.32399,0.11902,0.59544
Australia and New Zealand,Male,30-34,Stroke,0.56107,0.20611,1.0316
Australia and New Zealand,Male,5-9,Lower respiratory infections,0.2346,0.07672,0.47149
Australia and New Zealand,Male,65-69,"Trachea, bronchus, lung cancers",30.67359,14.31474,55.47036
Australia and New Zealand,Male,70-74,"Trachea, bronchus, lung cancers",39.69873,18.52686,71.79356
Australia and New Zealand,Male,10-14,Lower respiratory infections,0.17011,0.0552,0.34347
Australia and New Zealand,Male,15-19,Lower respiratory infections,0.06353,0.02091,0.12718
Australia and New Zealand,Male,20-24,Lower respiratory infections,0.23337,0.07532,0.47268
Australia and New Zealand,Male,25-29,Lower respiratory infections,0.23168,0.07353,0.47259
Australia and New Zealand,Male,30-34,Lower respiratory infections,0.57594,0.18787,1.1593
Australia and New Zealand,Male,35-39,Lower respiratory infections,0.77129,0.25051,1.55648
Australia and New Zealand,Male,40-44,Lower respiratory infections,1.19619,0.38909,2.41182
Australia and New Zealand,Male,45-49,Lower respiratory infections,2.02974,0.65831,4.09948
Australia and New Zealand,Male,50-54,Lower respiratory infections,2.70903,0.87943,5.4685
Australia and New Zealand,Male,55-59,Lower respiratory infections,3.37163,1.09341,6.8101
Australia and New Zealand,Male,60-64,Lower respiratory infections,5.55861,1.81073,11.19789
Australia and New Zealand,Male,65-69,Lower respiratory infections,8.0112,2.60766,16.14601
Australia and New Zealand,Male,70-74,Lower respiratory infections,12.05851,3.93143,24.2797
Australia and New Zealand,Male,75-79,Lower respiratory infections,17.04904,5.53984,34.39663
Australia and New Zealand,Male,80+,Lower respiratory infections,160.48575,52.11332,323.90673
Australia and New Zealand,Male,All,Lower respiratory infections,216.68507,70.37623,437.28357
Australia and New Zealand,Male,25-29,"Trachea, bronchus, lung cancers",0.02285,0.01064,0.04119
Australia and New Zealand,Male,30-34,"Trachea, bronchus, lung cancers",0.07672,0.0358,0.13875
Australia and New Zealand,Male,35-39,"Trachea, bronchus, lung cancers",0.3553,0.16586,0.64291
Australia and New Zealand,Male,40-44,"Trachea, bronchus, lung cancers",1.32333,0.61777,2.39458
Australia and New Zealand,Male,45-49,"Trachea, bronchus, lung cancers",3.27729,1.53091,5.93706
Australia and New Zealand,Male,50-54,"Trachea, bronchus, lung cancers",6.92449,3.23315,12.53342
Australia and New Zealand,Male,55-59,"Trachea, bronchus, lung cancers",13.93413,6.50396,25.20773
Australia and New Zealand,Male,60-64,"Trachea, bronchus, lung cancers",22.63435,10.56333,40.93472
Australia and New Zealand,Male,75-79,"Trachea, bronchus, lung cancers",37.52694,17.51284,67.86229
Australia and New Zealand,Male,80+,"Trachea, bronchus, lung cancers",66.38165,30.97689,120.03504
Australia and New Zealand,Male,All,"Trachea, bronchus, lung cancers",222.82936,103.99237,402.98499
Central Asia and Southern Asia,Both,25-29,Ischaemic heart disease,3285.4863,2295.36871,4140.14876
Central Asia and Southern Asia,Both,All,Stroke,213397.4381,116229.9392,323966.2722
Central Asia and Southern Asia,Both,25-29,Chronic obstructive pulmonary disease,205.66504,89.04235,359.62959
Central Asia and Southern Asia,Both,30-34,Chronic obstructive pulmonary disease,349.38333,151.24453,613.3216
Central Asia and Southern Asia,Both,35-39,Chronic obstructive pulmonary disease,709.303,307.19384,1258.10455
Central Asia and Southern Asia,Both,40-44,Chronic obstructive pulmonary disease,1314.5988,569.37635,2337.36906
Central Asia and Southern Asia,Both,45-49,Chronic obstructive pulmonary disease,2896.64497,1254.22909,5155.80145
Central Asia and Southern Asia,Both,50-54,Chronic obstructive pulmonary disease,6994.5385,3030.75585,12476.79927
Central Asia and Southern Asia,Both,55-59,Chronic obstructive pulmonary disease,12810.58568,5553.78518,22879.11223
Central Asia and Southern Asia,Both,60-64,Chronic obstructive pulmonary disease,23155.95675,10035.81378,41349.06646
Central Asia and Southern Asia,Both,65-69,Chronic obstructive pulmonary disease,33434.80344,14492.16318,59845.87449
Central Asia and Southern Asia,Both,70-74,Chronic obstructive pulmonary disease,40593.41008,17573.5469,72311.55177
Central Asia and Southern Asia,Both,75-79,Chronic obstructive pulmonary disease,42630.17456,18444.45456,75758.94221
Central Asia and Southern Asia,Both,80+,Chronic obstructive pulmonary disease,83419.08911,36084.64293,148668.6095
Central Asia and Southern Asia,Both,All,Chronic obstructive pulmonary disease,248514.1532,107540.4182,442813.6302
Central Asia and Southern Asia,Both,0-4,Lower respiratory infections,44129.55844,32927.35951,56853.08071
Central Asia and Southern Asia,Both,5-9,Lower respiratory infections,2233.80579,1654.70609,2887.37958
Central Asia and Southern Asia,Both,10-14,Lower respiratory infections,1590.99987,1181.16656,2057.74889
Central Asia and Southern Asia,Both,15-19,Lower respiratory infections,938.26769,692.14563,1213.06542
Central Asia and Southern Asia,Both,20-24,Lower respiratory infections,973.63744,719.48207,1259.06198
Central Asia and Southern Asia,Both,30-34,Ischaemic heart disease,6350.84997,4436.21907,8006.99486
Central Asia and Southern Asia,Both,35-39,Ischaemic heart disease,11164.14759,7792.72389,14072.49005
Central Asia and Southern Asia,Both,40-44,Ischaemic heart disease,16977.08025,11858.37433,21404.45859
Central Asia and Southern Asia,Both,45-49,Ischaemic heart disease,26769.90709,18661.63148,33739.07319
Central Asia and Southern Asia,Both,50-54,Ischaemic heart disease,40859.66879,28461.52911,51481.62484
Central Asia and Southern Asia,Both,55-59,Ischaemic heart disease,57344.71829,39922.79852,72265.99463
Central Asia and Southern Asia,Both,60-64,Ischaemic heart disease,66403.59822,46189.74281,83696.64913
Central Asia and Southern Asia,Both,65-69,Ischaemic heart disease,73726.89869,51312.60323,92963.33388
Central Asia and Southern Asia,Both,70-74,Ischaemic heart disease,70585.16768,49083.41428,88990.33736
Central Asia and Southern Asia,Both,75-79,Ischaemic heart disease,70475.29153,48976.10505,88894.8231
Central Asia and Southern Asia,Both,80+,Ischaemic heart disease,130391.573,90424.176,164525.9505
Central Asia and Southern Asia,Both,All,Ischaemic heart disease,574334.3874,399335.0354,724068.2516
Central Asia and Southern Asia,Both,25-29,Stroke,879.38046,477.13489,1344.06959
Central Asia and Southern Asia,Both,30-34,Stroke,1468.70596,797.67126,2244.33408
Central Asia and Southern Asia,Both,35-39,Stroke,2622.55719,1428.83868,3996.94563
Central Asia and Southern Asia,Both,40-44,Stroke,4115.09401,2241.43806,6271.71891
Central Asia and Southern Asia,Both,45-49,Stroke,6761.86706,3685.40614,10298.03122
Central Asia and Southern Asia,Both,50-54,Stroke,12377.03862,6753.90029,18851.9835
Central Asia and Southern Asia,Both,55-59,Stroke,18291.9135,9985.73343,27836.34066
Central Asia and Southern Asia,Both,65-69,Stroke,31281.67673,17029.13279,47570.43224
Central Asia and Southern Asia,Both,70-74,Stroke,30476.94124,16629.29205,46429.8024
Central Asia and Southern Asia,Both,75-79,Stroke,30393.58025,16566.81715,46162.06704
Central Asia and Southern Asia,Both,80+,Stroke,49156.64109,26543.77306,74122.61634
Central Asia and Southern Asia,Both,60-64,Stroke,25572.04203,13946.16684,38939.87848
Central Asia and Southern Asia,Both,25-29,"Trachea, bronchus, lung cancers",95.8779,61.69429,136.45673
Central Asia and Southern Asia,Both,30-34,"Trachea, bronchus, lung cancers",185.02821,119.0864,262.88698
Central Asia and Southern Asia,Both,35-39,"Trachea, bronchus, lung cancers",329.21387,212.40363,464.16496
Central Asia and Southern Asia,Both,40-44,"Trachea, bronchus, lung cancers",634.76916,410.98169,899.66179
Central Asia and Southern Asia,Both,45-49,"Trachea, bronchus, lung cancers",1246.03166,806.37397,1768.87579
Central Asia and Southern Asia,Both,50-54,"Trachea, bronchus, lung cancers",2122.54235,1371.03069,3014.83154
Central Asia and Southern Asia,Both,55-59,"Trachea, bronchus, lung cancers",3063.72627,1976.14049,4362.98252
Central Asia and Southern Asia,Both,60-64,"Trachea, bronchus, lung cancers",3653.51925,2351.98779,5197.0477
Central Asia and Southern Asia,Both,65-69,"Trachea, bronchus, lung cancers",3807.60041,2448.61707,5398.89092
Central Asia and Southern Asia,Both,70-74,"Trachea, bronchus, lung cancers",3346.56092,2148.57474,4734.2135
Central Asia and Southern Asia,Both,75-79,"Trachea, bronchus, lung cancers",2624.92583,1680.7393,3721.79116
Central Asia and Southern Asia,Both,25-29,Lower respiratory infections,1163.4912,861.34218,1504.99941
Central Asia and Southern Asia,Both,30-34,Lower respiratory infections,1214.48805,897.22707,1570.28308
Central Asia and Southern Asia,Both,35-39,Lower respiratory infections,1803.95412,1333.7231,2329.78142
Central Asia and Southern Asia,Both,40-44,Lower respiratory infections,2032.38936,1500.89152,2623.41182
Central Asia and Southern Asia,Both,45-49,Lower respiratory infections,2610.91822,1930.52033,3369.33095
Central Asia and Southern Asia,Both,50-54,Lower respiratory infections,4316.17483,3197.53465,5571.57387
Central Asia and Southern Asia,Both,55-59,Lower respiratory infections,6245.48563,4627.61011,8057.72753
Central Asia and Southern Asia,Both,60-64,Lower respiratory infections,10353.68602,7681.23069,13359.30371
Central Asia and Southern Asia,Both,65-69,Lower respiratory infections,14355.21525,10658.51881,18519.29477
Central Asia and Southern Asia,Female,45-49,Stroke,2933.1606,1597.57448,4481.19166
Central Asia and Southern Asia,Female,50-54,Stroke,5701.86396,3111.21102,8702.44825
Central Asia and Southern Asia,Female,55-59,Stroke,7824.41592,4266.09671,11926.34984
Central Asia and Southern Asia,Female,60-64,Stroke,11744.99177,6412.93888,17922.20421
Central Asia and Southern Asia,Both,70-74,Lower respiratory infections,16735.75849,12425.03176,21593.03789
Central Asia and Southern Asia,Both,75-79,Lower respiratory infections,17163.00545,12739.75775,22144.66495
Central Asia and Southern Asia,Both,80+,Lower respiratory infections,35694.34571,26422.69439,46085.09937
Central Asia and Southern Asia,Both,All,Lower respiratory infections,163555.1815,121841.0301,211126.1772
Central Asia and Southern Asia,Both,All,"Trachea, bronchus, lung cancers",23778.46766,15270.4563,33716.66313
Central Asia and Southern Asia,Female,25-29,Ischaemic heart disease,1087.22912,759.57061,1371.08916
Central Asia and Southern Asia,Female,30-34,Ischaemic heart disease,1766.64924,1234.39469,2226.72624
Central Asia and Southern Asia,Female,35-39,Ischaemic heart disease,3165.66084,2211.86916,3991.69921
Central Asia and Southern Asia,Female,40-44,Ischaemic heart disease,5267.67805,3681.38825,6643.4406
Central Asia and Southern Asia,Female,45-49,Ischaemic heart disease,7712.44243,5383.57988,9725.80745
Central Asia and Southern Asia,Female,50-54,Ischaemic heart disease,13486.0352,9397.60742,16988.36436
Central Asia and Southern Asia,Female,55-59,Ischaemic heart disease,18480.71246,12889.69437,23279.74811
Central Asia and Southern Asia,Female,60-64,Ischaemic heart disease,23986.71629,16706.42315,30230.51712
Central Asia and Southern Asia,Female,65-69,Ischaemic heart disease,28887.56279,20135.20758,36423.12594
Central Asia and Southern Asia,Both,80+,"Trachea, bronchus, lung cancers",2668.67182,1704.04577,3800.46339
Central Asia and Southern Asia,Female,70-74,Ischaemic heart disease,30341.53157,21111.50549,38261.26345
Central Asia and Southern Asia,Female,75-79,Ischaemic heart disease,32490.03494,22592.34356,40993.18405
Central Asia and Southern Asia,Female,80+,Ischaemic heart disease,63072.00095,43751.26267,79538.04915
Central Asia and Southern Asia,Female,All,Ischaemic heart disease,229744.2539,159850.7119,289658.8068
Central Asia and Southern Asia,Female,25-29,Stroke,376.56863,204.30505,576.19495
Central Asia and Southern Asia,Female,30-34,Stroke,564.80199,306.01924,866.19103
Central Asia and Southern Asia,Female,35-39,Stroke,1021.8592,556.07212,1560.20262
Central Asia and Southern Asia,Female,40-44,Stroke,1770.00005,963.65899,2705.69462
Central Asia and Southern Asia,Female,25-29,Chronic obstructive pulmonary disease,84.141,36.32824,147.01006
Central Asia and Southern Asia,Female,30-34,Chronic obstructive pulmonary disease,138.95859,60.0444,243.11144
Central Asia and Southern Asia,Female,35-39,Chronic obstructive pulmonary disease,257.86772,111.67369,455.90181
Central Asia and Southern Asia,Female,40-44,Chronic obstructive pulmonary disease,462.67576,200.28606,823.09397
Central Asia and Southern Asia,Female,45-49,Chronic obstructive pulmonary disease,980.71473,424.40228,1745.87127
Central Asia and Southern Asia,Female,50-54,Chronic obstructive pulmonary disease,2654.76155,1151.24971,4750.83063
Central Asia and Southern Asia,Female,55-59,Chronic obstructive pulmonary disease,4404.433,1910.12074,7883.47667
