Country,Sex,Cause,Value,Low,High
Austria,Both,"Trachea, bronchus, lung cancers",217.38995,105.76334,377.33308
Austria,Female,Chronic obstructive pulmonary disease,178.72211,40.59593,427.09602
Austria,Female,Ischaemic heart disease,1519.10677,891.89741,2030.0261
Austria,Female,Lower respiratory infections,99.41448,39.08926,175.23038
Austria,Female,Stroke,289.49197,118.22992,498.20877
Austria,Female,"Trachea, bronchus, lung cancers",88.94428,43.27267,154.38441
Austria,Male,Chronic obstructive pulmonary disease,192.27225,43.67378,459.47706
Austria,Male,Ischaemic heart disease,1499.7639,880.54084,2004.17767
Austria,Male,Lower respiratory infections,91.89231,36.13158,161.97162
Austria,Male,Stroke,200.94556,82.06714,345.82251
Austria,Male,"Trachea, bronchus, lung cancers",128.44567,62.49066,222.94867
Azerbaijan,Both,Chronic obstructive pulmonary disease,282.75039,76.76269,591.81846
Azerbaijan,Both,Ischaemic heart disease,7349.57777,4536.96037,9836.14257
Azerbaijan,Both,Lower respiratory infections,376.02528,194.55485,568.38775
Azerbaijan,Both,Stroke,1857.80443,856.7287,3041.68963
Azerbaijan,Both,"Trachea, bronchus, lung cancers",146.41886,65.91633,253.40099
Azerbaijan,Female,Chronic obstructive pulmonary disease,122.56422,33.27443,256.53641
Azerbaijan,Female,Ischaemic heart disease,3593.72786,2218.44049,4809.58509
Azerbaijan,Female,Lower respiratory infections,167.69375,86.76446,253.48049
Azerbaijan,Female,Stroke,1043.45645,481.19117,1708.39869
Azerbaijan,Female,"Trachea, bronchus, lung cancers",15.93098,7.17197,27.57108
Azerbaijan,Male,Chronic obstructive pulmonary disease,160.18617,43.48825,335.28206
Azerbaijan,Male,Ischaemic heart disease,3755.84991,2318.51988,5026.55749
Azerbaijan,Male,Lower respiratory infections,208.33153,107.79039,314.90726
Azerbaijan,Male,Stroke,814.34798,375.53753,1333.29094
Azerbaijan,Male,"Trachea, bronchus, lung cancers",130.48788,58.74436,225.82992
Burundi,Both,Chronic obstructive pulmonary disease,213.65364,43.70393,452.87443
Burundi,Both,Ischaemic heart disease,829.19109,456.51464,1169.57354
Burundi,Both,Lower respiratory infections,1512.42369,538.34265,2651.30555
Burundi,Both,Stroke,627.68101,266.93098,1102.77948
Burundi,Both,"Trachea, bronchus, lung cancers",8.99269,2.65492,18.87265
Burundi,Female,Chronic obstructive pulmonary disease,83.20565,17.02013,176.36821
Burundi,Female,Ischaemic heart disease,368.16053,202.69233,519.29021
Burundi,Female,Lower respiratory infections,699.31714,248.91983,1225.91534
Burundi,Female,Stroke,316.26268,134.49556,555.6453
Burundi,Female,"Trachea, bronchus, lung cancers",3.42917,1.0124,7.19667
Burundi,Male,Chronic obstructive pulmonary disease,130.44799,26.68379,276.50621
Burundi,Male,Ischaemic heart disease,461.03055,253.82231,650.28333
Burundi,Male,Lower respiratory infections,813.10655,289.42283,1425.39021
Burundi,Male,Stroke,311.41832,132.43542,547.13419
Burundi,Male,"Trachea, bronchus, lung cancers",5.56353,1.64252,11.67598
Belgium,Both,Chronic obstructive pulmonary disease,572.5237,128.9144,1357.41088
Belgium,Both,Ischaemic heart disease,2598.99041,1524.10018,3489.39833
Belgium,Both,Lower respiratory infections,682.00882,253.65955,1232.12429
Belgium,Both,Stroke,689.05735,290.13592,1191.40399
Belgium,Both,"Trachea, bronchus, lung cancers",340.8264,164.4173,589.50936
Belgium,Female,Chronic obstructive pulmonary disease,247.79047,55.79465,587.49267
Belgium,Female,Ischaemic heart disease,1306.22702,765.99776,1753.73729
Belgium,Female,Lower respiratory infections,374.99849,139.47319,677.47621
Belgium,Female,Stroke,409.87245,172.58174,708.68364
Belgium,Female,"Trachea, bronchus, lung cancers",103.16436,49.76729,178.43792
Belgium,Male,Chronic obstructive pulmonary disease,324.73323,73.11975,769.91821
Belgium,Male,Ischaemic heart disease,1292.76339,758.10241,1735.66104
Belgium,Male,Lower respiratory infections,307.01033,114.18636,554.64808
Belgium,Male,Stroke,279.1849,117.55417,482.72035
Belgium,Male,"Trachea, bronchus, lung cancers",237.66204,114.65002,411.07144
Benin,Both,Chronic obstructive pulmonary disease,215.28657,71.01562,420.68484
Benin,Both,Ischaemic heart disease,1275.61805,824.64269,1662.35691
Benin,Both,Lower respiratory infections,2153.47402,1291.67256,3043.15893
Benin,Both,Stroke,917.20789,467.99749,1461.74043
Benin,Both,"Trachea, bronchus, lung cancers",8.94446,4.42866,14.82216
Benin,Female,Chronic obstructive pulmonary disease,88.02035,29.03488,171.99785
Benin,Female,Ischaemic heart disease,638.9042,413.02934,832.60566
Benin,Female,Lower respiratory infections,969.38423,581.44514,1369.87503
Benin,Female,Stroke,482.51033,246.19677,768.96946
Benin,Female,"Trachea, bronchus, lung cancers",4.62583,2.29038,7.66562
Benin,Male,Chronic obstructive pulmonary disease,127.26622,41.98074,248.68699
Benin,Male,Ischaemic heart disease,636.71385,411.61335,829.75124
Benin,Male,Lower respiratory infections,1184.08979,710.22741,1673.2839
Benin,Male,Stroke,434.69756,221.80072,692.77097
Benin,Male,"Trachea, bronchus, lung cancers",4.31863,2.13827,7.15654
Burkina Faso,Both,Chronic obstructive pulmonary disease,226.44964,67.59396,456.51551
Burkina Faso,Both,Ischaemic heart disease,2007.14264,1198.68155,2726.09696
Burkina Faso,Both,Lower respiratory infections,3766.2549,1705.08764,5943.2227
Burkina Faso,Both,Stroke,1071.6163,509.7484,1847.51399
Burkina Faso,Both,"Trachea, bronchus, lung cancers",38.44591,13.51714,71.62205
Burkina Faso,Female,Chronic obstructive pulmonary disease,98.40838,29.37436,198.38826
Burkina Faso,Female,Ischaemic heart disease,914.8724,546.36907,1242.57779
Burkina Faso,Female,Lower respiratory infections,1675.79281,758.6777,2644.4333
Burkina Faso,Female,Stroke,525.39732,249.92195,905.80825
Burkina Faso,Female,"Trachea, bronchus, lung cancers",11.04302,3.8826,20.57238
Burkina Faso,Male,Chronic obstructive pulmonary disease,128.04126,38.21961,258.12725
Burkina Faso,Male,Ischaemic heart disease,1092.27024,652.31248,1483.51917
Burkina Faso,Male,Lower respiratory infections,2090.4621,946.40994,3298.78941
Burkina Faso,Male,Stroke,546.21899,259.82644,941.70574
Burkina Faso,Male,"Trachea, bronchus, lung cancers",27.40289,9.63454,51.04967
Bangladesh,Both,Chronic obstructive pulmonary disease,10276.8922,4292.12345,18104.70956
Bangladesh,Both,Ischaemic heart disease,28564.21021,19894.85646,36055.9206
Bangladesh,Both,Lower respiratory infections,8907.97809,6411.37628,11555.43075
Bangladesh,Both,Stroke,25736.12579,13785.30832,39510.44404
Bangladesh,Both,"Trachea, bronchus, lung cancers",2201.11693,1384.50505,3136.96387
Bangladesh,Female,Chronic obstructive pulmonary disease,3952.05873,1650.56942,6962.3067
Bangladesh,Female,Ischaemic heart disease,12245.04628,8528.62503,15456.62959
Bangladesh,Female,Lower respiratory infections,4337.0805,3121.54507,5626.06159
Bangladesh,Female,Stroke,12626.15849,6763.08039,19383.84715
Bangladesh,Female,"Trachea, bronchus, lung cancers",546.28229,343.61218,778.54465
Bangladesh,Male,Chronic obstructive pulmonary disease,6324.83347,2641.55404,11142.40286
Bangladesh,Male,Ischaemic heart disease,16319.16392,11366.23143,20599.29102
Bangladesh,Male,Lower respiratory infections,4570.89759,3289.83121,5929.36915
Bangladesh,Male,Stroke,13109.9673,7022.22793,20126.59689
Bangladesh,Male,"Trachea, bronchus, lung cancers",1654.83464,1040.89287,2358.41922
Bulgaria,Both,Chronic obstructive pulmonary disease,494.10053,145.61199,1062.94565
Bulgaria,Both,Ischaemic heart disease,7285.18,4502.04263,9499.46016
Bulgaria,Both,Lower respiratory infections,239.49063,117.82524,366.49594
Bulgaria,Both,Stroke,2581.05747,1257.70151,4058.15325
Bulgaria,Both,"Trachea, bronchus, lung cancers",263.15435,139.89838,430.58392
Bulgaria,Female,Chronic obstructive pulmonary disease,182.91434,53.90506,393.49887
Bulgaria,Female,Ischaemic heart disease,3698.85913,2285.7941,4823.10183
Bulgaria,Female,Lower respiratory infections,96.63172,47.54113,147.8769
Bulgaria,Female,Stroke,1409.16518,686.6601,2215.60671
Bulgaria,Female,"Trachea, bronchus, lung cancers",60.74904,32.29547,99.40007
Bulgaria,Male,Chronic obstructive pulmonary disease,311.18619,91.70692,669.44678
Bulgaria,Male,Ischaemic heart disease,3586.32087,2216.24853,4676.35834
Bulgaria,Male,Lower respiratory infections,142.85891,70.28411,218.61904
Bulgaria,Male,Stroke,1171.89229,571.04141,1842.54654
Bulgaria,Male,"Trachea, bronchus, lung cancers",202.40531,107.60291,331.18385
Bahrain,Both,Chronic obstructive pulmonary disease,31.19326,14.06324,55.68775
Bahrain,Both,Ischaemic heart disease,264.64617,182.34496,333.27116
Bahrain,Both,Lower respiratory infections,34.74656,25.96735,44.56239
Bahrain,Both,Stroke,58.04245,31.04464,88.73943
Bahrain,Both,"Trachea, bronchus, lung cancers",16.36496,10.62261,23.27529
Bahrain,Female,Chronic obstructive pulmonary disease,12.34703,5.56656,22.04252
Bahrain,Female,Ischaemic heart disease,87.49724,60.28684,110.18602
Bahrain,Female,Lower respiratory infections,14.12823,10.55854,18.11943
Bahrain,Female,Stroke,26.08214,13.95032,39.87624
Bahrain,Female,"Trachea, bronchus, lung cancers",4.46378,2.89747,6.34867
Bahrain,Male,Chronic obstructive pulmonary disease,18.84624,8.49668,33.64523
Bahrain,Male,Ischaemic heart disease,177.14893,122.05812,223.08514
Bahrain,Male,Lower respiratory infections,20.61832,15.40881,26.44296
Bahrain,Male,Stroke,31.96031,17.09432,48.86319
Bahrain,Male,"Trachea, bronchus, lung cancers",11.90119,7.72514,16.92663
Bahamas,Both,Chronic obstructive pulmonary disease,0.89917,0.0,3.43858
Bahamas,Both,Ischaemic heart disease,26.93361,0.0,54.42334
Bahamas,Both,Lower respiratory infections,3.20659,0.0,9.7544
Bahamas,Both,Stroke,7.73366,0.0,21.29486
Bahamas,Both,"Trachea, bronchus, lung cancers",0.313,0.0,0.96077
Bahamas,Female,Chronic obstructive pulmonary disease,0.27321,0.0,1.04481
Bahamas,Female,Ischaemic heart disease,10.69894,0.0,21.61879
Bahamas,Female,Lower respiratory infections,1.42851,0.0,4.3455
Bahamas,Female,Stroke,3.84937,0.0,10.59936
Bahamas,Female,"Trachea, bronchus, lung cancers",0.09218,0.0,0.28296
Bahamas,Male,Chronic obstructive pulmonary disease,0.62596,0.0,2.39378
Bahamas,Male,Ischaemic heart disease,16.23467,0.0,32.80455
Bahamas,Male,Lower respiratory infections,1.77808,0.0,5.40891
Bahamas,Male,Stroke,3.88429,0.0,10.6955
Bahamas,Male,"Trachea, bronchus, lung cancers",0.22082,0.0,0.67781
Bosnia and Herzegovina,Both,Chronic obstructive pulmonary disease,187.53842,65.30115,367.3658
Bosnia and Herzegovina,Both,Ischaemic heart disease,2068.84639,1364.77657,2645.07954
Bosnia and Herzegovina,Both,Lower respiratory infections,99.77483,62.16921,138.89008
Bosnia and Herzegovina,Both,Stroke,1168.03274,604.09418,1751.08677
Bosnia and Herzegovina,Both,"Trachea, bronchus, lung cancers",240.82887,137.68793,372.60238
Bosnia and Herzegovina,Female,Chronic obstructive pulmonary disease,69.69046,24.26632,136.51545
Bosnia and Herzegovina,Female,Ischaemic heart disease,1074.46846,708.80535,1373.7388
Bosnia and Herzegovina,Female,Lower respiratory infections,48.01202,29.91606,66.83443
Bosnia and Herzegovina,Female,Stroke,678.16332,350.7389,1016.68624
Bosnia and Herzegovina,Female,"Trachea, bronchus, lung cancers",48.70299,27.84473,75.35165
Bosnia and Herzegovina,Male,Chronic obstructive pulmonary disease,117.84796,41.03483,230.85035
Bosnia and Herzegovina,Male,Ischaemic heart disease,994.37792,655.97122,1271.34074
Bosnia and Herzegovina,Male,Lower respiratory infections,51.76281,32.25316,72.05565
Bosnia and Herzegovina,Male,Stroke,489.86943,253.35529,734.40054
Bosnia and Herzegovina,Male,"Trachea, bronchus, lung cancers",192.12587,109.8432,297.25073
Belarus,Both,Chronic obstructive pulmonary disease,251.07538,64.14015,552.2709
Belarus,Both,Ischaemic heart disease,10165.26945,6100.62807,13414.63256
Belarus,Both,Lower respiratory infections,170.67367,78.51508,277.23004
Belarus,Both,Stroke,1849.8381,833.08439,3040.92139
Belarus,Both,"Trachea, bronchus, lung cancers",210.26963,108.58455,353.99474
Belarus,Female,Chronic obstructive pulmonary disease,92.23858,23.56343,202.89001
Belarus,Female,Ischaemic heart disease,5509.60668,3306.5588,7270.77128
Belarus,Female,Lower respiratory infections,65.57683,30.16733,106.51828
Belarus,Female,Stroke,1096.72402,493.91547,1802.88833
Belarus,Female,"Trachea, bronchus, lung cancers",27.02934,13.95812,45.50465
Belarus,Male,Chronic obstructive pulmonary disease,158.83679,40.57672,349.38089
Belarus,Male,Ischaemic heart disease,4655.66277,2794.06927,6143.86128
Belarus,Male,Lower respiratory infections,105.09685,48.34775,170.71176
Belarus,Male,Stroke,753.11408,339.16892,1238.03306
Belarus,Male,"Trachea, bronchus, lung cancers",183.24028,94.62643,308.49009
Belize,Both,Chronic obstructive pulmonary disease,3.54795,0.15422,10.09707
Belize,Both,Ischaemic heart disease,29.48596,4.60278,46.52415
Belize,Both,Lower respiratory infections,10.11282,0.48351,23.83641
Belize,Both,Stroke,10.35269,0.93779,21.41373
Belize,Both,"Trachea, bronchus, lung cancers",1.33589,0.06371,3.25701
Belize,Female,Chronic obstructive pulmonary disease,1.00316,0.0436,2.85489
Belize,Female,Ischaemic heart disease,11.73673,1.83211,18.51869
Belize,Female,Lower respiratory infections,4.32356,0.20671,10.19083
Belize,Female,Stroke,4.60656,0.41728,9.5283
Belize,Female,"Trachea, bronchus, lung cancers",0.3334,0.0159,0.81285
Belize,Male,Chronic obstructive pulmonary disease,2.54478,0.11061,7.24218
Belize,Male,Ischaemic heart disease,17.74923,2.77067,28.00546
Belize,Male,Lower respiratory infections,5.78926,0.27679,13.64557
Belize,Male,Stroke,5.74614,0.52051,11.88544
Belize,Male,"Trachea, bronchus, lung cancers",1.00249,0.04781,2.44416
Bolivia (Plurinational State of),Both,Chronic obstructive pulmonary disease,583.99021,179.20595,1194.65852
Bolivia (Plurinational State of),Both,Ischaemic heart disease,2448.13001,1584.44151,3186.43349
Bolivia (Plurinational State of),Both,Lower respiratory infections,1748.00802,927.94905,2587.04935
Bolivia (Plurinational State of),Both,Stroke,1034.87447,504.02271,1620.01914
Bolivia (Plurinational State of),Both,"Trachea, bronchus, lung cancers",100.48516,48.82671,164.71342
Bolivia (Plurinational State of),Female,Chronic obstructive pulmonary disease,297.06414,91.15848,607.6989
Bolivia (Plurinational State of),Female,Ischaemic heart disease,1228.2288,794.91558,1598.63625
Bolivia (Plurinational State of),Female,Lower respiratory infections,951.69088,505.21544,1408.50114
Bolivia (Plurinational State of),Female,Stroke,579.45918,282.21837,907.10032
Bolivia (Plurinational State of),Female,"Trachea, bronchus, lung cancers",34.21408,16.62495,56.0831
Bolivia (Plurinational State of),Male,Chronic obstructive pulmonary disease,286.92607,88.04747,586.95963
Bolivia (Plurinational State of),Male,Ischaemic heart disease,1219.90121,789.52593,1587.79724
Bolivia (Plurinational State of),Male,Lower respiratory infections,796.31714,422.7336,1178.54821
Bolivia (Plurinational State of),Male,Stroke,455.41529,221.80434,712.91882
Bolivia (Plurinational State of),Male,"Trachea, bronchus, lung cancers",66.27107,32.20176,108.63032
Brazil,Both,Chronic obstructive pulmonary disease,5003.8467,1098.53887,11998.29655
Brazil,Both,Ischaemic heart disease,26923.33557,15314.04483,36823.582
Brazil,Both,Lower respiratory infections,10749.24554,4147.1171,19847.09854
Brazil,Both,Stroke,10842.2245,4346.46793,19007.22647
Brazil,Both,"Trachea, bronchus, lung cancers",1505.48854,713.9935,2629.08161
Brazil,Female,Chronic obstructive pulmonary disease,2282.33043,501.06025,5472.60516
Brazil,Female,Ischaemic heart disease,11731.88779,6673.12024,16045.93646
Brazil,Female,Lower respiratory infections,5453.40816,2103.95438,10069.01634
Brazil,Female,Stroke,5419.03757,2172.40226,9499.97616
Brazil,Female,"Trachea, bronchus, lung cancers",636.28653,301.76546,1111.16702
Brazil,Male,Chronic obstructive pulmonary disease,2721.51628,597.47862,6525.69139
Brazil,Male,Ischaemic heart disease,15191.44778,8640.92459,20777.64553
Brazil,Male,Lower respiratory infections,5295.83739,2043.16272,9778.0822
Brazil,Male,Stroke,5423.18694,2174.06567,9507.25031
Brazil,Male,"Trachea, bronchus, lung cancers",869.20201,412.22803,1517.91459
Barbados,Both,Chronic obstructive pulmonary disease,5.71662,0.96015,14.85428
Barbados,Both,Ischaemic heart disease,56.77492,30.49004,80.06021
Barbados,Both,Lower respiratory infections,22.86234,5.63993,45.97887
Barbados,Both,Stroke,32.02742,10.3081,59.07963
Barbados,Both,"Trachea, bronchus, lung cancers",1.78321,0.63689,3.5448
Barbados,Female,Chronic obstructive pulmonary disease,2.3325,0.39176,6.06085
Barbados,Female,Ischaemic heart disease,29.49118,15.83776,41.5865
Barbados,Female,Lower respiratory infections,12.80207,3.15815,25.74646
Barbados,Female,Stroke,18.04735,5.80858,33.29118
Barbados,Female,"Trachea, bronchus, lung cancers",0.8054,0.28766,1.60104
Barbados,Male,Chronic obstructive pulmonary disease,3.38412,0.56839,8.79343
Barbados,Male,Ischaemic heart disease,27.28374,14.65229,38.47371
Barbados,Male,Lower respiratory infections,10.06028,2.48178,20.2324
Barbados,Male,Stroke,13.98008,4.49952,25.78846
Barbados,Male,"Trachea, bronchus, lung cancers",0.97781,0.34923,1.94376
Brunei Darussalam,Both,Chronic obstructive pulmonary disease,3.09036,0.40637,9.09696
Brunei Darussalam,Both,Ischaemic heart disease,36.58497,18.82096,54.07983
Brunei Darussalam,Both,Lower respiratory infections,4.38168,1.02253,10.96983
Brunei Darussalam,Both,Stroke,14.08231,4.25252,30.08273
Brunei Darussalam,Both,"Trachea, bronchus, lung cancers",1.67786,0.62342,3.37679
Brunei Darussalam,Female,Chronic obstructive pulmonary disease,1.46402,0.19252,4.30959
Brunei Darussalam,Female,Ischaemic heart disease,10.95222,5.63432,16.18955
Brunei Darussalam,Female,Lower respiratory infections,2.12653,0.49625,5.32391
Brunei Darussalam,Female,Stroke,7.01535,2.11846,14.98624
Brunei Darussalam,Female,"Trachea, bronchus, lung cancers",0.87427,0.32484,1.75952
Brunei Darussalam,Male,Chronic obstructive pulmonary disease,1.62633,0.21386,4.78738
Brunei Darussalam,Male,Ischaemic heart disease,25.63275,13.18664,37.89028
Brunei Darussalam,Male,Lower respiratory infections,2.25515,0.52627,5.64592
Brunei Darussalam,Male,Stroke,7.06696,2.13405,15.09649
Brunei Darussalam,Male,"Trachea, bronchus, lung cancers",0.80359,0.29858,1.61727
Bhutan,Both,Chronic obstructive pulmonary disease,84.79583,29.40595,166.33802
